time	I(C1)	I(L1)	I(R1)
3.487232390771389e-01	1.517071e+00	6.694404e-01	-2.186512e+00
3.562567212199961e-01	1.332053e+00	6.895168e-01	-2.021570e+00
3.637902033628532e-01	1.142658e+00	7.088211e-01	-1.851479e+00
3.713236855057104e-01	9.488871e-01	7.273533e-01	-1.676240e+00
3.788571676485675e-01	7.507394e-01	7.451134e-01	-1.495853e+00
3.863906497914247e-01	5.482153e-01	7.621015e-01	-1.310317e+00
3.939241319342818e-01	3.413147e-01	7.783175e-01	-1.119632e+00
3.975513640771389e-01	2.411690e-01	7.857261e-01	-1.026895e+00
4.011785962199961e-01	1.406133e-01	7.928906e-01	-9.335039e-01
4.048058283628532e-01	3.964746e-02	7.998111e-01	-8.394586e-01
4.084330605057104e-01	-6.172847e-02	8.064875e-01	-7.447590e-01
4.120602926485675e-01	-1.635145e-01	8.129198e-01	-6.494053e-01
4.156875247914246e-01	-2.657106e-01	8.191081e-01	-5.533975e-01
4.193147569342818e-01	-3.683168e-01	8.250523e-01	-4.567355e-01
4.218259176485675e-01	-4.394249e-01	8.290089e-01	-3.895840e-01
4.243370783628532e-01	-5.105647e-01	8.328346e-01	-3.222698e-01
4.268482390771389e-01	-5.817363e-01	8.365292e-01	-2.547930e-01
4.293593997914246e-01	-6.529394e-01	8.400929e-01	-1.871535e-01
4.318705605057104e-01	-7.241743e-01	8.435257e-01	-1.193513e-01
4.343817212199961e-01	-7.954409e-01	8.468274e-01	-5.138646e-02
4.368928819342818e-01	-8.667392e-01	8.499982e-01	1.674106e-02
4.416361855057103e-01	-1.001530e+00	8.556275e-01	1.459029e-01
4.463794890771389e-01	-1.135742e+00	8.607429e-01	2.749988e-01
4.511227926485675e-01	-1.269373e+00	8.653445e-01	4.040287e-01
4.558660962199961e-01	-1.402425e+00	8.694322e-01	5.329927e-01
4.606093997914246e-01	-1.534897e+00	8.730059e-01	6.618907e-01
4.653527033628532e-01	-1.666789e+00	8.760658e-01	7.907228e-01
4.700960069342818e-01	-1.798101e+00	8.786118e-01	9.194889e-01
4.731652033628532e-01	-1.882405e+00	8.799645e-01	1.002441e+00
4.762343997914246e-01	-1.966163e+00	8.810873e-01	1.085076e+00
4.793035962199961e-01	-2.049375e+00	8.819804e-01	1.167394e+00
4.823727926485675e-01	-2.132040e+00	8.826435e-01	1.249396e+00
4.854419890771389e-01	-2.214158e+00	8.830769e-01	1.331081e+00
4.885111855057104e-01	-2.295729e+00	8.832803e-01	1.412449e+00
4.915803819342818e-01	-2.376754e+00	8.832540e-01	1.493500e+00
4.943705605057103e-01	-2.449824e+00	8.830257e-01	1.566798e+00
4.971607390771389e-01	-2.522263e+00	8.826025e-01	1.639660e+00
4.999509176485675e-01	-2.594071e+00	8.819842e-01	1.712087e+00
5.027410962199961e-01	-2.665248e+00	8.811708e-01	1.784077e+00
5.055312747914247e-01	-2.735795e+00	8.801625e-01	1.855633e+00
5.083214533628532e-01	-2.805711e+00	8.789590e-01	1.926752e+00
5.111116319342818e-01	-2.874997e+00	8.775606e-01	1.997436e+00
5.189241319342818e-01	-3.066099e+00	8.725789e-01	2.193520e+00
5.267366319342818e-01	-3.249976e+00	8.660702e-01	2.383906e+00
5.345491319342818e-01	-3.426630e+00	8.580346e-01	2.568595e+00
5.423616319342818e-01	-3.596059e+00	8.484721e-01	2.747587e+00
5.501741319342818e-01	-3.758264e+00	8.373826e-01	2.920882e+00
5.579866319342818e-01	-3.913245e+00	8.247661e-01	3.088479e+00
5.657991319342818e-01	-4.061001e+00	8.106227e-01	3.250379e+00
5.772388640771389e-01	-4.262106e+00	7.869904e-01	3.475116e+00
5.886785962199961e-01	-4.441269e+00	7.605692e-01	3.680700e+00
6.001183283628532e-01	-4.598490e+00	7.313593e-01	3.867131e+00
6.115580605057104e-01	-4.733769e+00	6.993604e-01	4.034409e+00
6.229977926485675e-01	-4.847107e+00	6.645727e-01	4.182534e+00
6.344375247914247e-01	-4.938502e+00	6.269962e-01	4.311506e+00
6.458772569342818e-01	-5.007956e+00	5.866308e-01	4.421325e+00
6.514576140771389e-01	-5.032263e+00	5.662194e-01	4.466044e+00
6.570379712199961e-01	-5.050739e+00	5.453491e-01	4.505390e+00
6.626183283628532e-01	-5.063385e+00	5.240199e-01	4.539364e+00
6.681986855057104e-01	-5.070199e+00	5.022318e-01	4.567967e+00
6.737790426485675e-01	-5.071182e+00	4.799848e-01	4.591197e+00
6.793593997914247e-01	-5.066334e+00	4.572789e-01	4.609055e+00
6.849397569342818e-01	-5.055655e+00	4.341142e-01	4.621541e+00
6.907991319342818e-01	-5.038109e+00	4.094511e-01	4.628658e+00
6.969375247914247e-01	-5.012688e+00	3.831127e-01	4.629576e+00
7.030759176485675e-01	-4.980359e+00	3.564796e-01	4.623879e+00
7.092143105057104e-01	-4.941121e+00	3.295519e-01	4.611569e+00
7.153527033628532e-01	-4.894975e+00	3.023295e-01	4.592646e+00
7.214910962199961e-01	-4.841921e+00	2.748124e-01	4.567108e+00
7.276294890771390e-01	-4.781958e+00	2.470007e-01	4.534957e+00
7.337678819342818e-01	-4.715087e+00	2.188943e-01	4.496192e+00
7.399062747914247e-01	-4.641416e+00	1.906189e-01	4.450796e+00
7.460446676485675e-01	-4.561503e+00	1.623147e-01	4.399188e+00
7.521830605057104e-01	-4.475349e+00	1.339816e-01	4.341368e+00
7.583214533628532e-01	-4.382955e+00	1.056196e-01	4.277335e+00
7.644598462199961e-01	-4.284319e+00	7.722881e-02	4.207090e+00
7.705982390771390e-01	-4.179441e+00	4.880911e-02	4.130632e+00
7.767366319342818e-01	-4.068323e+00	2.036055e-02	4.047962e+00
7.806428819342818e-01	-3.994826e+00	2.372348e-03	3.992454e+00
7.865022569342818e-01	-3.880315e+00	-2.450638e-02	3.904821e+00
7.934777033628532e-01	-3.736763e+00	-5.643916e-02	3.793202e+00
8.004531497914247e-01	-3.587141e+00	-8.795779e-02	3.675099e+00
8.074285962199961e-01	-3.431448e+00	-1.190622e-01	3.550511e+00
8.144040426485675e-01	-3.269685e+00	-1.497525e-01	3.419438e+00
8.213794890771389e-01	-3.101852e+00	-1.800287e-01	3.281881e+00
8.283549355057104e-01	-2.927948e+00	-2.098907e-01	3.137839e+00
8.353303819342818e-01	-2.747974e+00	-2.393385e-01	2.987313e+00
8.450960069342818e-01	-2.486267e+00	-2.796684e-01	2.765935e+00
8.548616319342818e-01	-2.218347e+00	-3.183531e-01	2.536700e+00
8.646272569342818e-01	-1.944215e+00	-3.553927e-01	2.299608e+00
8.743928819342818e-01	-1.663871e+00	-3.907872e-01	2.054658e+00
8.841585069342818e-01	-1.377314e+00	-4.245364e-01	1.801850e+00
8.939241319342818e-01	-1.084544e+00	-4.566406e-01	1.541185e+00
9.036897569342818e-01	-7.855623e-01	-4.870995e-01	1.272662e+00
9.073169890771389e-01	-6.746567e-01	-4.977946e-01	1.172451e+00
9.109442212199961e-01	-5.636091e-01	-5.081897e-01	1.071799e+00
9.145714533628532e-01	-4.524195e-01	-5.182846e-01	9.707042e-01
9.181986855057104e-01	-3.410880e-01	-5.280795e-01	8.691675e-01
9.218259176485675e-01	-2.296144e-01	-5.375743e-01	7.671887e-01
9.254531497914247e-01	-1.179988e-01	-5.467689e-01	6.647678e-01
9.290803819342818e-01	-6.241265e-03	-5.556635e-01	5.619048e-01
9.318705605057104e-01	7.964499e-02	-5.622863e-01	4.826413e-01
9.346607390771389e-01	1.654062e-01	-5.687159e-01	4.033097e-01
9.374509176485675e-01	2.510424e-01	-5.749525e-01	3.239101e-01
9.402410962199961e-01	3.365536e-01	-5.809960e-01	2.444424e-01
9.430312747914247e-01	4.219398e-01	-5.868465e-01	1.649066e-01
9.458214533628532e-01	5.072010e-01	-5.925038e-01	8.530286e-02
9.486116319342818e-01	5.923371e-01	-5.979681e-01	5.631016e-03
9.525178819342818e-01	7.112435e-01	-6.052866e-01	-1.059569e-01
9.564241319342818e-01	8.294823e-01	-6.122030e-01	-2.172792e-01
9.603303819342818e-01	9.470534e-01	-6.187173e-01	-3.283361e-01
9.642366319342818e-01	1.063957e+00	-6.248295e-01	-4.391274e-01
9.681428819342818e-01	1.180193e+00	-6.305396e-01	-5.496533e-01
9.720491319342818e-01	1.295761e+00	-6.358476e-01	-6.599136e-01
9.759553819342818e-01	1.410662e+00	-6.407535e-01	-7.699084e-01
9.793035962199961e-01	1.508383e+00	-6.446266e-01	-8.637569e-01
9.826518105057104e-01	1.605290e+00	-6.481922e-01	-9.570974e-01
9.860000247914247e-01	1.701381e+00	-6.514505e-01	-1.049930e+00
9.893482390771389e-01	1.796656e+00	-6.544015e-01	-1.142255e+00
9.926964533628532e-01	1.891117e+00	-6.570450e-01	-1.234072e+00
9.960446676485675e-01	1.984762e+00	-6.593812e-01	-1.325381e+00
