time	I(C1)**2	I(L1)**2	I(R1)**2
3.637902033628532e-01	1.305668e+00	5.024273e-01	3.427976e+00
3.713236855057104e-01	9.003867e-01	5.290428e-01	2.809782e+00
3.788571676485675e-01	5.636096e-01	5.551940e-01	2.237576e+00
3.863906497914247e-01	3.005400e-01	5.807987e-01	1.716930e+00
3.939241319342818e-01	1.164957e-01	6.057781e-01	1.253576e+00
3.975513640771389e-01	5.816251e-02	6.173654e-01	1.054514e+00
4.011785962199961e-01	1.977210e-02	6.286755e-01	8.714296e-01
4.048058283628532e-01	1.571921e-03	6.396978e-01	7.046907e-01
4.084330605057104e-01	3.810404e-03	6.504221e-01	5.546660e-01
4.120602926485675e-01	2.673699e-02	6.608387e-01	4.217273e-01
4.156875247914246e-01	7.060213e-02	6.709381e-01	3.062488e-01
4.193147569342818e-01	1.356573e-01	6.807113e-01	2.086073e-01
4.218259176485675e-01	1.930943e-01	6.872558e-01	1.517757e-01
4.243370783628532e-01	2.606764e-01	6.936134e-01	1.038578e-01
4.268482390771389e-01	3.384171e-01	6.997812e-01	6.491947e-02
4.293593997914246e-01	4.263299e-01	7.057562e-01	3.502643e-02
4.318705605057104e-01	5.244285e-01	7.115355e-01	1.424474e-02
4.343817212199961e-01	6.327263e-01	7.171167e-01	2.640568e-03
4.368928819342818e-01	7.512369e-01	7.224969e-01	2.802632e-04
4.416361855057103e-01	1.003063e+00	7.320984e-01	2.128765e-02
4.463794890771389e-01	1.289909e+00	7.408784e-01	7.562432e-02
4.511227926485675e-01	1.611308e+00	7.488211e-01	1.632392e-01
4.558660962199961e-01	1.966795e+00	7.559123e-01	2.840812e-01
4.606093997914246e-01	2.355908e+00	7.621394e-01	4.380993e-01
4.653527033628532e-01	2.778184e+00	7.674913e-01	6.252425e-01
4.700960069342818e-01	3.233166e+00	7.719587e-01	8.454598e-01
4.731652033628532e-01	3.543450e+00	7.743375e-01	1.004888e+00
4.762343997914246e-01	3.865798e+00	7.763149e-01	1.177390e+00
4.793035962199961e-01	4.199937e+00	7.778893e-01	1.362810e+00
4.823727926485675e-01	4.545593e+00	7.790596e-01	1.560990e+00
4.854419890771389e-01	4.902495e+00	7.798247e-01	1.771776e+00
4.885111855057104e-01	5.270373e+00	7.801842e-01	1.995012e+00
4.915803819342818e-01	5.648961e+00	7.801376e-01	2.230543e+00
4.943705605057103e-01	6.001637e+00	7.797345e-01	2.454856e+00
4.971607390771389e-01	6.361809e+00	7.789871e-01	2.688485e+00
4.999509176485675e-01	6.729203e+00	7.778961e-01	2.931241e+00
5.027410962199961e-01	7.103548e+00	7.764620e-01	3.182932e+00
5.055312747914247e-01	7.484575e+00	7.746859e-01	3.443373e+00
5.083214533628532e-01	7.872015e+00	7.725690e-01	3.712374e+00
5.111116319342818e-01	8.265606e+00	7.701126e-01	3.989751e+00
5.189241319342818e-01	9.400961e+00	7.613939e-01	4.811529e+00
5.267366319342818e-01	1.056235e+01	7.500777e-01	5.683009e+00
5.345491319342818e-01	1.174179e+01	7.362234e-01	6.597682e+00
5.423616319342818e-01	1.293164e+01	7.199049e-01	7.549235e+00
5.501741319342818e-01	1.412455e+01	7.012096e-01	8.531550e+00
5.579866319342818e-01	1.531349e+01	6.802391e-01	9.538701e+00
5.657991319342818e-01	1.649173e+01	6.571091e-01	1.056496e+01
5.772388640771389e-01	1.816555e+01	6.193539e-01	1.207643e+01
5.886785962199961e-01	1.972487e+01	5.784656e-01	1.354755e+01
6.001183283628532e-01	2.114611e+01	5.348864e-01	1.495470e+01
6.115580605057104e-01	2.240857e+01	4.891050e-01	1.627645e+01
6.229977926485675e-01	2.349444e+01	4.416569e-01	1.749359e+01
6.344375247914247e-01	2.438880e+01	3.931242e-01	1.858908e+01
6.458772569342818e-01	2.507962e+01	3.441357e-01	1.954812e+01
6.514576140771389e-01	2.532367e+01	3.206044e-01	1.994555e+01
6.570379712199961e-01	2.550997e+01	2.974056e-01	2.029854e+01
6.626183283628532e-01	2.563786e+01	2.745968e-01	2.060583e+01
6.681986855057104e-01	2.570692e+01	2.522368e-01	2.086632e+01
6.737790426485675e-01	2.571689e+01	2.303854e-01	2.107909e+01
6.793593997914247e-01	2.566774e+01	2.091040e-01	2.124338e+01
6.849397569342818e-01	2.555964e+01	1.884551e-01	2.135864e+01
6.907991319342818e-01	2.538255e+01	1.676502e-01	2.142448e+01
6.969375247914247e-01	2.512704e+01	1.467753e-01	2.143297e+01
7.030759176485675e-01	2.480397e+01	1.270777e-01	2.138026e+01
7.092143105057104e-01	2.441468e+01	1.086044e-01	2.126657e+01
7.153527033628532e-01	2.396078e+01	9.140311e-02	2.109240e+01
7.214910962199961e-01	2.344419e+01	7.552186e-02	2.085848e+01
7.276294890771390e-01	2.286712e+01	6.100933e-02	2.056584e+01
7.337678819342818e-01	2.223204e+01	4.791470e-02	2.021575e+01
7.399062747914247e-01	2.154274e+01	3.633557e-02	1.980959e+01
7.460446676485675e-01	2.080731e+01	2.634606e-02	1.935286e+01
7.521830605057104e-01	2.002875e+01	1.795107e-02	1.884747e+01
7.583214533628532e-01	1.921029e+01	1.115551e-02	1.829559e+01
7.644598462199961e-01	1.835539e+01	5.964289e-03	1.769960e+01
7.705982390771390e-01	1.746773e+01	2.382329e-03	1.706212e+01
7.767366319342818e-01	1.655125e+01	4.145518e-04	1.638600e+01
7.806428819342818e-01	1.595863e+01	5.628037e-06	1.593969e+01
7.865022569342818e-01	1.505684e+01	6.005625e-04	1.524763e+01
7.934777033628532e-01	1.396340e+01	3.185379e-03	1.438838e+01
8.004531497914247e-01	1.286758e+01	7.736572e-03	1.350635e+01
8.074285962199961e-01	1.177484e+01	1.417582e-02	1.260613e+01
8.144040426485675e-01	1.069084e+01	2.242583e-02	1.169256e+01
8.213794890771389e-01	9.621486e+00	3.241033e-02	1.077074e+01
8.283549355057104e-01	8.572882e+00	4.405409e-02	9.846033e+00
8.353303819342818e-01	7.551363e+00	5.728290e-02	8.924036e+00
8.450960069342818e-01	6.181524e+00	7.821440e-02	7.650398e+00
8.548616319342818e-01	4.921065e+00	1.013487e-01	6.434849e+00
8.646272569342818e-01	3.779973e+00	1.263040e-01	5.288197e+00
8.743928819342818e-01	2.768465e+00	1.527146e-01	4.221619e+00
8.841585069342818e-01	1.896993e+00	1.802312e-01	3.246664e+00
8.939241319342818e-01	1.176236e+00	2.085206e-01	2.375251e+00
9.036897569342818e-01	6.171081e-01	2.372659e-01	1.619668e+00
9.073169890771389e-01	4.551616e-01	2.477995e-01	1.374642e+00
9.109442212199961e-01	3.176552e-01	2.582568e-01	1.148753e+00
9.145714533628532e-01	2.046834e-01	2.686190e-01	9.422666e-01
9.181986855057104e-01	1.163410e-01	2.788680e-01	7.554521e-01
9.218259176485675e-01	5.272277e-02	2.889861e-01	5.885784e-01
9.254531497914247e-01	1.392372e-02	2.989563e-01	4.419162e-01
9.290803819342818e-01	3.895339e-05	3.087620e-01	3.157370e-01
9.318705605057104e-01	6.343325e-03	3.161658e-01	2.329426e-01
9.346607390771389e-01	2.735922e-02	3.234378e-01	1.626587e-01
9.374509176485675e-01	6.302231e-02	3.305704e-01	1.049177e-01
9.402410962199961e-01	1.132684e-01	3.375564e-01	5.975208e-02
9.430312747914247e-01	1.780332e-01	3.443888e-01	2.719420e-02
9.458214533628532e-01	2.572528e-01	3.510608e-01	7.276577e-03
9.486116319342818e-01	3.508633e-01	3.575659e-01	3.170834e-05
9.525178819342818e-01	5.058673e-01	3.663719e-01	1.122686e-02
9.564241319342818e-01	6.880408e-01	3.747925e-01	4.721026e-02
9.603303819342818e-01	8.969102e-01	3.828111e-01	1.078046e-01
9.642366319342818e-01	1.132004e+00	3.904119e-01	1.928329e-01
9.681428819342818e-01	1.392855e+00	3.975802e-01	3.021187e-01
9.720491319342818e-01	1.678997e+00	4.043022e-01	4.354860e-01
9.759553819342818e-01	1.989967e+00	4.105651e-01	5.927590e-01
9.793035962199961e-01	2.275220e+00	4.155434e-01	7.460759e-01
9.826518105057104e-01	2.576955e+00	4.201532e-01	9.160355e-01
9.860000247914247e-01	2.894696e+00	4.243878e-01	1.102353e+00
9.893482390771389e-01	3.227974e+00	4.282413e-01	1.304746e+00
9.926964533628532e-01	3.576323e+00	4.317082e-01	1.522933e+00
9.960446676485675e-01	3.939281e+00	4.347836e-01	1.756635e+00
9.993928819342818e-01	4.316389e+00	4.374632e-01	2.005572e+00
1.002462078362853e+00	4.673487e+00	4.395626e-01	2.246490e+00
1.005531274791425e+00	5.040677e+00	4.413192e-01	2.499013e+00
1.008600471219996e+00	5.417503e+00	4.427308e-01	2.762819e+00
1.011669667648567e+00	5.803515e+00	4.437957e-01	3.037591e+00
1.014738864077139e+00	6.198266e+00	4.445129e-01	3.323014e+00
1.017808060505710e+00	6.601314e+00	4.448813e-01	3.618776e+00
1.020877256934282e+00	7.012225e+00	4.449005e-01	3.924567e+00
1.026457614077139e+00	7.777951e+00	4.440263e-01	4.505196e+00
1.032037971219996e+00	8.560341e+00	4.420173e-01	5.111950e+00
1.037618328362853e+00	9.356167e+00	4.388812e-01	5.742273e+00
1.043198685505710e+00	1.016229e+01	4.346302e-01	6.393669e+00
1.048779042648568e+00	1.097568e+01	4.292808e-01	7.063696e+00
1.054359399791425e+00	1.179338e+01	4.228537e-01	7.749971e+00
1.059939756934282e+00	1.261253e+01	4.153742e-01	8.450166e+00
1.070821453362853e+00	1.420015e+01	3.976710e-01	9.845145e+00
1.081703149791425e+00	1.572348e+01	3.768574e-01	1.123186e+01
1.092584846219996e+00	1.715895e+01	3.532183e-01	1.258840e+01
1.103466542648568e+00	1.848540e+01	3.270874e-01	1.389463e+01
1.114348239077139e+00	1.968407e+01	2.988464e-01	1.513213e+01
1.125229935505710e+00	2.073853e+01	2.689257e-01	1.628427e+01
1.136111631934282e+00	2.163478e+01	2.378042e-01	1.733613e+01
1.141412971219996e+00	2.199653e+01	2.225968e-01	1.779358e+01
1.146714310505710e+00	2.231087e+01	2.074352e-01	1.821572e+01
